id,Food Group,Food Name,Protein (g),Fat (g),Carbohydrates (g),Ash (g),Calories,Starch (g),Sucrose (g),Glucose (g),Fructose (g),Lactose (g),Maltose (g),Alcohol (g),Water (g),Caffeine (mg),Theobromine (mg),Sugar (g),Galactose (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potasssium (mg),Sodium (mg),Zinc (mg),Cupper (mg),Fluoride (mcg),Manganese (mg),Selenium (mcg),Vitamin A (IU),Retinol (mcg),Retinol Equivalents (mcg),Beta Carotene (mcg),Alpha Carotene (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin D2 (Ergocalciferol)  (mcg),Vitamin D3 (Cholecalciferol) (mcg),Beta Cryptoxanthin (mcg),Lycopene (mcg),Lutein and Zeaxanthin (mcg),Vitamin C (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin B5 (mg),Vitamin B6 (mg),Folate (B9) (mg),Vitamin B12,Choline (mg),Cholesterol (mg),Saturated Fat (g),Net Carbs
2001,Spices and Herbs,"Spices, allspice, ground",6.09,8.69,72.12,4.65,263,NULL,NULL,NULL,NULL,NULL,NULL,0,8.46,0,0,NULL,NULL,21.6,661,7.06,135,113,1044,77,1.01,0.553,NULL,2.943,2.7,540,0,27,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,39.2,0.101,0.063,2.86,NULL,0.21,36,0,NULL,0,2.55,50.52
2002,Spices and Herbs,"Spices, anise seed",17.6,15.9,50.02,6.95,337,NULL,NULL,NULL,NULL,NULL,NULL,0,9.54,0,0,NULL,NULL,14.6,646,36.96,170,440,1441,16,5.3,0.91,NULL,2.3,5,311,0,16,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,21,0.34,0.29,3.06,0.797,0.65,10,0,NULL,0,0.586,35.42
2003,Spices and Herbs,"Spices, basil, dried",22.98,4.07,47.75,14.85,233,NULL,0.02,0.75,0.75,0,0,0,10.35,0,0,1.71,0.19,37.7,2240,89.8,711,274,2630,76,7.1,2.1,NULL,9.8,3,744,0,37,378,113,10.7,0,NULL,NULL,24,393,1150,0.8,0.08,1.2,4.9,0.838,1.34,310,0,54.9,0,2.157,10.05
2004,Spices and Herbs,"Spices, bay leaf",7.61,8.36,74.97,3.62,313,NULL,NULL,NULL,NULL,NULL,NULL,0,5.44,NULL,NULL,NULL,NULL,26.3,834,43,120,113,529,23,3.7,0.416,NULL,8.167,2.8,6185,0,309,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,46.5,0.009,0.421,2.005,NULL,1.74,180,0,NULL,0,2.28,48.67
2005,Spices and Herbs,"Spices, caraway seed",19.77,14.59,49.9,5.87,333,NULL,NULL,NULL,NULL,NULL,NULL,0,9.87,0,0,0.64,NULL,38,689,16.23,258,568,1351,17,5.5,0.91,NULL,1.3,12.1,363,0,18,206,8,2.5,0,NULL,NULL,16,20,454,21,0.383,0.379,3.606,NULL,0.36,10,0,24.7,0,0.62,11.9
2006,Spices and Herbs,"Spices, cardamom",10.76,6.7,68.47,5.78,311,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.28,NULL,NULL,NULL,NULL,28,383,13.97,229,178,1119,18,7.47,0.383,NULL,28,NULL,0,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,21,0.198,0.182,1.102,NULL,0.23,NULL,0,NULL,0,0.68,40.47
2007,Spices and Herbs,"Spices, celery seed",18.07,25.27,41.35,9.27,392,NULL,NULL,NULL,NULL,NULL,NULL,0,6.04,0,0,0.67,NULL,11.8,1767,44.9,440,547,1400,160,6.93,1.37,NULL,7.567,12.1,52,0,3,31,0,1.07,0,NULL,NULL,0,0,0,17.1,0.34,0.29,3.06,NULL,0.89,10,0,24.7,0,2.19,29.55
2008,Spices and Herbs,"Spices, chervil, dried",23.2,3.9,49.1,16.6,237,NULL,NULL,NULL,NULL,NULL,NULL,0,7.2,0,0,NULL,NULL,11.3,1346,31.95,130,450,4740,83,8.8,0.44,NULL,2.1,29.3,5850,0,293,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,50,0.38,0.68,5.4,NULL,0.93,274,0,NULL,0,0.169,37.8
2009,Spices and Herbs,"Spices, chili powder",13.46,14.28,49.7,11.81,282,NULL,0.76,2.14,4.29,0,0,0,10.75,0,0,7.19,0,34.8,330,17.3,149,300,1950,2867,4.3,1,NULL,1.7,20.4,29650,0,1483,15000,2090,38.14,0,NULL,NULL,3490,21,310,0.7,0.25,0.94,11.6,0.888,2.094,28,0,66.5,0,2.462,14.9
2010,Spices and Herbs,"Spices, cinnamon, ground",3.99,1.24,80.59,3.6,247,NULL,0.02,1.04,1.11,0,0,0,10.58,0,0,2.17,0,53.1,1002,8.32,60,64,431,10,1.83,0.339,NULL,17.466,3.1,295,0,15,112,1,2.32,0,NULL,NULL,129,15,222,3.8,0.022,0.041,1.332,0.358,0.158,6,0,11,0,0.345,27.49
